title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,ref_no,num_photos,price_per_m2,total_offers,offer_type,search_url,scraped_at
"3-стаен, София, Хиподрума, 116 кв.м., 285000 €",/3-staen-sofiya-hipodruma-116-kv-m-285000-9910881,"Хиподрума, София",Цена:285 000 €(557 411.55 лв.),Тристаен апартамент в Хиподрума,116 кв.м,Тухла,,1 етаж,Тристаен апартамент с перфектните параметри в ж.к. Хиподрума. Жилището се намира на първи висок етаж със застроена площ от 100кв.м. ( 116 ОЧ) и има следното разпределение: огромна всекидневна с кухнен..,Адрес недвижими имоти,9910881,0,2456.9,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.830893
"3-ст., бул. България",/3-st-bul-balgariya-10865230,"Борово, София",Цена:292 000 €(571 102.36 лв.),Тристаен апартамент в Борово,117 кв.м,Тухла,2008 г.,8 етаж,"Локация: ъгъла на бул. България и ул. Пирински проход. Апартаментът е със застроена площ от 106 кв.м. по нот. акт + 11 кв.м. общи части, разпределени в обширно входно антре, две спални, килер, голяма ..",днешна обява,10865230,0,2495.73,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.834943
Продажба 2-стаен гр. София - Борово 60m²,/prodajba-2-staen-gr-sofiya-borovo-60m-10879481,"Борово, София",Цена:180 000 €(352 049.40 лв.),Двустаен апартамент в Борово,60 кв.м,Панел,1978 г.,6 етаж,"Двустаен апартамент в поддържана сграда. В близост ежедневни удобства. 
-Жилището се състои от коридор, кухня с усвоена тераса, хол, стая, баня с тоалетна. 
-Санирано, подменена дограма. Нуждае се о..",Продиджи недвижими имоти,10879481,0,3000.0,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.839316
Продажба 2-стаен гр. София - Стрелбище 64m²,/prodajba-2-staen-gr-sofiya-strelbishte-64m-10879480,"Стрелбище, София",Цена:225 000 €(440 061.75 лв.),Двустаен апартамент в Стрелбище,64 кв.м,Тухла,2008 г.,2 етаж,"Изключително предложение - апартамент за продажба в квартал Стрелбище, София, готов да посрещне новите си собственици! 
Разположен на втори етаж с гледка към вътрешен двор в тухлена сграда от 2008 г...",Продиджи недвижими имоти,10879480,0,3515.62,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.843728
Тристаен апартамент в ж.к. Хиподрума,/tristaen-apartament-v-j-k-hipodruma-10874223,"Хиподрума, София",Цена:330 000 €(645 423.90 лв.),Тристаен апартамент в Хиподрума,130 кв.м,Тухла,2017 г.,2 етаж,"Референтен номер: 2044378

Революшън Естейт представя тристаен апартамент в ж.к. Хиподрума. 

Районът е спокоен и добре развит, с удобен достъп до градски транспорт, магазини и основни пътни артер..",Революшън Естейт България ООД,10874223,0,2538.46,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.848132
Двустаен апартамент в кв. Гоце Делчев,/dvustaen-apartament-v-kv-goce-delchev-10434263,"Гоце Делчев, София",Цена:194 900 €(381 191.27 лв.),Двустаен апартамент в Гоце Делчев,62 кв.м,ЕПК/ПК,1987 г.,9 етаж,"Югозападен, на 2 минути от Южен парк, много светъл и топъл. 
Апартаментът се намира метри от входа на парка, улица ’Деян Белишки 4’, точно зад магазин ’Дар’. 
Наоколо има детски площадки, малки и го..",ANTRE,10434263,0,3143.55,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.852638
Ексклузивно! Обзаведен 2ст - Тухла с Акт 16 - 2ст с ПАНОРАМА! ПАРКОМЯСТО - Дървеница!,/ekskluzivno-obzaveden-2st-tuhla-s-akt-16-2st-s-panorama-parkomyasto-darvenica-10878913,"Дървеница, София",Цена:159 990 €(312 913.24 лв.),Двустаен апартамент в Дървеница,65 кв.м,Тухла,2023 г.,6 етаж,"🔥 НОВО! Обзаведен 2ст - Тухла с Акт 16 - 2ст с ПАНОРАМА! ПАРКОМЯСТО - Дървеница! 

Референтен код №83047 в www.novdom1.bg! 

Консултант недвижими имоти: Мирослав Стоянов, тел. *виж контакти*! 

✅ Тухл..",Нов Дом 1,10878913,0,2461.38,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.857089
Двустаен апартамент в кв. Хиподрума с ГАРАЖ!,/dvustaen-apartament-v-kv-hipodruma-s-garaj-10878774,"Хиподрума, София",Цена:234 999 €(459 618.10 лв.),Двустаен апартамент в Хиподрума,42 кв.м,Тухла,1980 г.,1 етаж,"🏡 Имоти Премиер представя

✨ Функционален двустаен апартамент в кв. Хиподрума, гр. София с ГАРАЖ в цената! 

📐 Площ: 42 кв.м. 

🏢 Сграда: поддържана, с асансьор (1980 г.)

📍 Локация: един от най-търсе..",ИМОТИ ПРЕМИЕР ООД,10878774,0,5595.21,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.861510
"продавам двустаен, обзаведен в кв. Редута, до парк Гео милев",/prodavam-dvustaen-obzaveden-v-kv-reduta-do-park-geo-milev-10617687,"Редута, София",Цена:140 000 €(273 816.20 лв.),Двустаен апартамент в Редута,52 кв.м,Тухла,2006 г.,4 етаж,"- намира се на улица Георги минчев
- тухла 2008г. с АКТ16, етаж 4/4 без Асансьор 
- в продажната цена е включена и комисионната 
- обявата, снимките и описанието са реални/актуални 
- по статут се..",днешна обява,10617687,0,2692.31,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.865453
Модерно Обзаведен Двустаен Апартамент,/moderno-obzaveden-dvustaen-apartament-10847558,"Дианабад, София",Цена:220 000 €(430 282.60 лв.),Двустаен апартамент в Дианабад,64 кв.м,Тухла,2011 г.,6 етаж,"Светъл, стилен и напълно обзаведен двустаен апартамент, разположен на 6-ти жилищен етаж в поддържана сграда с отлични общи части. Имотът е модерно оборудван и готов за незабавно нанасяне - без нужда о..",Дом Имоти Бургас,10847558,0,3437.5,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.869848
Двустаен апартамент с гледка към Витоша в кв. „Белите брези“,/dvustaen-apartament-s-gledka-kam-vitosha-v-kv-belite-brezi-10877265,"Белите Брези, София",Цена:239 000 €(467 443.37 лв.),Двустаен апартамент в Белите Брези,76.22 кв.м,Тухла,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-137471 

Представяме двустаен апартамент в кв. „Б..",SUPRIMMO,10877265,0,3135.66,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.873981
"Продава 2-СТАЕН град София, Сухата река",/prodava-2-staen-grad-sofiya-suhata-reka-10620551,"Сухата река, София",Цена:165 000 €(322 711.95 лв.),Двустаен апартамент в Сухата река,68 кв.м,ЕПК/ПК,1980 г.,3 етаж,"Слънчев и икономичен дустаен апартамент! Отопление на ТЕЦ! Състои се от: кухня, хол, спалня и баня с тоалетна! Имотът разполага и с мазе! Входът и етажната собственост са чисти, поддържани и с огранич..",ИЙСТ ПРОПЪРТИС,10620551,0,2426.47,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.878130
Публична продан от ЧСИ на Двустаен апартамент в гр. София ДРУЖБА,/publichna-prodan-ot-chsi-na-dvustaen-apartament-v-gr-sofiya-drujba-10878116,"Изток, София",,Вид на имота: Двустаен апартамент в Изток,62.2 кв.м,Панел,,7 етаж,"Публична продан от частен съдебен изпълнител 

СРОК: от 05.02.2026 до 05.03.2026

Адрес: ДРУЖБА

АПАРТАМЕНТ № 20 /ДВАДЕСЕТ/, находящ се в град София, ж.к. ”Дружба”, в блок 87 /осемдесет и седми/, вход..",днешна обява,10878116,0,,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.880751
"3-стаен, София, Редута, 88 кв.м., 310000 €",/3-staen-sofiya-reduta-88-kv-m-310000-10625542,"Редута, София",Цена:310 000 €(606 307.30 лв.),Тристаен апартамент в Редута,88 кв.м,Тухла,,3 етаж,"Представяме Ви ремонтиран тристаен апартамент, готов за ново обзавеждане, със следното разпределение: 
Входно антре, всекидневна, отделна кухня, две големи спални, две тераси, баня с тоалетна и килер..",Имотека АД,10625542,0,3522.73,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.884981
Тристаен апартамент 91 кв.м ЕПК/ПК 1985 г. 14 етаж Непоследен,/tristaen-apartament-91-kv-m-epk-pk-1985-g-14-etaj-neposleden-10742934,"Сухата река, София",Цена:200 000 €(391 166 лв.),Тристаен апартамент в Сухата река,91 кв.м,ЕПК/ПК,1985 г.,14 етаж,"Номер в агенцията - 54665. Агенция Абела предлага за продажба изключително просторен и светъл тристаен апартамент. Локацията е една от най-предпочитаните в района, непосредствено до метростанция Хаджи..",Abella LLC,10742934,0,2197.8,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.889322
Тристаен апартамент 91 кв.м ЕПК/ПК 1985 г. 14 етаж Непоследен,/tristaen-apartament-91-kv-m-epk-pk-1985-g-14-etaj-neposleden-10743796,"Сухата река, София",Цена:200 000 €(391 166 лв.),Многостаен апартамент в Сухата река,91 кв.м,ЕПК/ПК,1985 г.,14 етаж,"Номер в агенцията - 54665. Агенция Абела предлага за продажба изключително просторен и светъл тристаен апартамент. Локацията е една от най-предпочитаните в района, непосредствено до метростанция Хаджи..",Abella LLC,10743796,0,2197.8,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.893697
"Двустаен Апартамент в Оборище, София - 80кв.м.",/dvustaen-apartament-v-oborishte-sofiya-80kv-m-10876431,"Оборище, София",Цена:320 000 €(625 865.60 лв.),Двустаен апартамент в Оборище,80 кв.м,Тухла,2008 г.,,"Реф. № 012847

Агенция за недвижими имоти BAS Properties предлага за продажба двустаен апартамент в София, кв. Оборище, в непосредствена близост до парк Заимов. 

Основни параметри: 
- Тип имот: ..",BASProperties,10876431,0,4000.0,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.897903
"Луксозен, четиристаен апартамент, в нова сграда",/luksozen-chetiristaen-apartament-v-nova-sgrada-10876310,"Гоце Делчев, София",Цена:750 000 €(1 466 872.50 лв.),Многостаен апартамент в Гоце Делчев,170 кв.м,Тухла,2018 г.,10 етаж,"Продаваме луксозен, четиристаен апартамент, с панорамни гледки. 
Жилището е напълно обзаведено и оборудвано, съгласно индивидуален проект, като изпълнението е с изключително високо качество. 
Имотът..",Universi,10876310,0,4411.76,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.902262
Двустаен апартамент в кв. Хиподрума - ново строителство,/dvustaen-apartament-v-kv-hipodruma-novo-stroitelstvo-10876083,"Хиподрума, София",Цена:261 723 €(511 885.70 лв.),Двустаен апартамент в Хиподрума,79.31 кв.м,Тухла,2026 г.,3 етаж,"На цена от инвеститор! 
ЕРА Идеа предлага за продажба двустаен апартамент в новострояща се жилищна сграда в кв. Хиподрума. Намира се само на 3мин. пешеходно разстояние от метростанция ”България”. 
Ап..",ЕРА Идеа,10876083,0,3300.0,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.906834
Тристаен Дървеница,/tristaen-darvenica-10875985,"Дървеница, София",Цена:210 000 €(410 724.30 лв.),Тристаен апартамент в Дървеница,80 кв.м,ЕПК/ПК,,13 етаж,"BULGARIA REAL ESTATE Ви предлага

Тристаен апартамент за продажба в ж.к. Дървеница, София - отлично семейно жилище и стабилна инвестиция. Имотът е напълно обзаведен и готов за нанасяне, с модернизир..",BULGARIA REAL ESTATE LTD,10875985,0,2625.0,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.911080
ПРОДАВА 3-Стаен апартамент тухлен в жк. Белите Брези,/prodava-3-staen-apartament-tuhlen-v-jk-belite-brezi-10370239,"Белите Брези, София",Цена:514 100 €(1 005 492.20 лв.),Тристаен апартамент в Белите Брези,154 кв.м,Тухла,2026 г.,7 етаж,"Продава тухлен 3-стаен апартамент в жк. Белите Брези. Сградата е разположена на два бул. Цар БорисiIII и бул. България лесен достъп до центъра на София. В квартала има паркове, детски градини, училища..",Христи Инвест,10370239,0,3338.31,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:52.475488
Двустаен апартамент за продажба,/dvustaen-apartament-za-prodajba-10674576,"Медицинска академия, София",Цена:298 499 €(583 813.30 лв.),Двустаен апартамент в Медицинска академия,85 кв.м,Тухла,2002 г.,2 етаж,"Просторен двустаен апартамент (по проект тристаен) с отлична локация в кв. „Крива река“, до Метростанция „Медицински университет“

Предлагаме за продажба двустаен апартамент, преустроен от тристаен,..",вчера,10674576,0,3511.75,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:52.479556
